"Fact","Fact Note","Alhambra city, California","Value Note for Alhambra city, California"
"Population estimates, July 1, 2019,  (V2019)","","83,750",""
"Population estimates base, April 1, 2010,  (V2019)","","83,119",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","0.8%",""
"Population, Census, April 1, 2010","","83,089",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","17.3%",""
"Persons 65 years and over, percent","","16.9%",""
"Female persons, percent","","51.4%",""
"White alone, percent","","22.7%",""
"Black or African American alone, percent","(a)","2.2%",""
"American Indian and Alaska Native alone, percent","(a)","0.5%",""
"Asian alone, percent","(a)","51.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%",""
"Two or More Races, percent","","2.8%",""
"Hispanic or Latino, percent","(b)","35.9%",""
"White alone, not Hispanic or Latino, percent","","9.0%",""
"Veterans, 2014-2018","","2,017",""
"Foreign born persons, percent, 2014-2018","","49.3%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","39.1%",""
"Median value of owner-occupied housing units, 2014-2018","","$582,600",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,320",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$522",""
"Median gross rent, 2014-2018","","$1,349",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","29,427",""
"Persons per household, 2014-2018","","2.86",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","89.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","72.2%",""
"Households with a computer, percent, 2014-2018","","90.5%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","84.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","81.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","33.8%",""
"With a disability, under age 65 years, percent, 2014-2018","","4.5%",""
"Persons  without health insurance, under age 65 years, percent","","8.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","61.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","55.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","170,325",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","329,443",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","307,325",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","476,831",""
"Total retail sales, 2012 ($1,000)","(c)","1,636,631",""
"Total retail sales per capita, 2012","(c)","$19,409",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","30.3",""
"Median household income (in 2018 dollars), 2014-2018","","$57,117",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$28,854",""
"Persons in poverty, percent","","14.0%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","10,635",""
"Men-owned firms, 2012","","4,850",""
"Women-owned firms, 2012","","4,491",""
"Minority-owned firms, 2012","","9,059",""
"Nonminority-owned firms, 2012","","1,211",""
"Veteran-owned firms, 2012","","417",""
"Nonveteran-owned firms, 2012","","9,960",""
"Population per square mile, 2010","","10,888.4",""
"Land area in square miles, 2010","","7.63",""
"FIPS Code","","""0600884""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
