"Fact","Fact Note","Arcadia city, California","Value Note for Arcadia city, California"
"Population estimates, July 1, 2019,  (V2019)","","57,939",""
"Population estimates base, April 1, 2010,  (V2019)","","56,303",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","2.9%",""
"Population, Census, April 1, 2010","","56,364",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","21.8%",""
"Persons 65 years and over, percent","","18.4%",""
"Female persons, percent","","52.8%",""
"White alone, percent","","28.6%",""
"Black or African American alone, percent","(a)","1.7%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","60.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%",""
"Two or More Races, percent","","3.3%",""
"Hispanic or Latino, percent","(b)","12.3%",""
"White alone, not Hispanic or Latino, percent","","21.9%",""
"Veterans, 2014-2018","","1,365",""
"Foreign born persons, percent, 2014-2018","","48.7%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","59.0%",""
"Median value of owner-occupied housing units, 2014-2018","","$1,068,800",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$3,366",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$864",""
"Median gross rent, 2014-2018","","$1,570",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","19,316",""
"Persons per household, 2014-2018","","2.99",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","89.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","62.8%",""
"Households with a computer, percent, 2014-2018","","94.9%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","90.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","92.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","53.1%",""
"With a disability, under age 65 years, percent, 2014-2018","","3.0%",""
"Persons  without health insurance, under age 65 years, percent","","5.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","59.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","53.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","220,377",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","582,152",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","194,269",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","527,046",""
"Total retail sales, 2012 ($1,000)","(c)","860,349",""
"Total retail sales per capita, 2012","(c)","$14,963",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","31.2",""
"Median household income (in 2018 dollars), 2014-2018","","$92,102",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$41,734",""
"Persons in poverty, percent","","9.5%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","9,188",""
"Men-owned firms, 2012","","4,483",""
"Women-owned firms, 2012","","3,138",""
"Minority-owned firms, 2012","","6,275",""
"Nonminority-owned firms, 2012","","2,468",""
"Veteran-owned firms, 2012","","374",""
"Nonveteran-owned firms, 2012","","8,369",""
"Population per square mile, 2010","","5,159.2",""
"Land area in square miles, 2010","","10.93",""
"FIPS Code","","""0602462""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
