"Fact","Fact Note","Bellflower city, California","Value Note for Bellflower city, California"
"Population estimates, July 1, 2019,  (V2019)","","76,435",""
"Population estimates base, April 1, 2010,  (V2019)","","76,625",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-0.2%",""
"Population, Census, April 1, 2010","","76,616",""
"Persons under 5 years, percent","","7.5%",""
"Persons under 18 years, percent","","26.3%",""
"Persons 65 years and over, percent","","11.1%",""
"Female persons, percent","","50.9%",""
"White alone, percent","","31.8%",""
"Black or African American alone, percent","(a)","12.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%",""
"Asian alone, percent","(a)","12.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.6%",""
"Two or More Races, percent","","4.2%",""
"Hispanic or Latino, percent","(b)","55.7%",""
"White alone, not Hispanic or Latino, percent","","16.4%",""
"Veterans, 2014-2018","","1,915",""
"Foreign born persons, percent, 2014-2018","","32.0%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","39.2%",""
"Median value of owner-occupied housing units, 2014-2018","","$436,200",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,162",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$471",""
"Median gross rent, 2014-2018","","$1,303",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","23,517",""
"Persons per household, 2014-2018","","3.27",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","91.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","56.3%",""
"Households with a computer, percent, 2014-2018","","88.1%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","77.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","76.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","17.6%",""
"With a disability, under age 65 years, percent, 2014-2018","","5.7%",""
"Persons  without health insurance, under age 65 years, percent","","13.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","63.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","56.5%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","72,624",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","838,891",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","46,787",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","98,437",""
"Total retail sales, 2012 ($1,000)","(c)","551,517",""
"Total retail sales per capita, 2012","(c)","$7,130",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","30.3",""
"Median household income (in 2018 dollars), 2014-2018","","$55,729",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$23,394",""
"Persons in poverty, percent","","13.8%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","6,566",""
"Men-owned firms, 2012","","3,459",""
"Women-owned firms, 2012","","2,617",""
"Minority-owned firms, 2012","","5,086",""
"Nonminority-owned firms, 2012","","1,318",""
"Veteran-owned firms, 2012","","450",""
"Nonveteran-owned firms, 2012","","5,906",""
"Population per square mile, 2010","","12,525.1",""
"Land area in square miles, 2010","","6.12",""
"FIPS Code","","""0604982""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
