"Fact","Fact Note","Beverly Hills city, California","Value Note for Beverly Hills city, California"
"Population estimates, July 1, 2019,  (V2019)","","33,792",""
"Population estimates base, April 1, 2010,  (V2019)","","33,921",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-0.4%",""
"Population, Census, April 1, 2010","","34,109",""
"Persons under 5 years, percent","","2.9%",""
"Persons under 18 years, percent","","19.5%",""
"Persons 65 years and over, percent","","21.6%",""
"Female persons, percent","","52.5%",""
"White alone, percent","","81.8%",""
"Black or African American alone, percent","(a)","1.7%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","9.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","4.8%",""
"Hispanic or Latino, percent","(b)","6.2%",""
"White alone, not Hispanic or Latino, percent","","77.6%",""
"Veterans, 2014-2018","","1,075",""
"Foreign born persons, percent, 2014-2018","","35.5%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","41.4%",""
"Median value of owner-occupied housing units, 2014-2018","","$2,000,000+",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$4,000+",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$1,500+",""
"Median gross rent, 2014-2018","","$2,130",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","15,000",""
"Persons per household, 2014-2018","","2.29",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","87.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","45.7%",""
"Households with a computer, percent, 2014-2018","","93.2%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","89.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","95.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","63.0%",""
"With a disability, under age 65 years, percent, 2014-2018","","4.3%",""
"Persons  without health insurance, under age 65 years, percent","","5.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","61.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","51.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","782,336",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","1,254,355",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","33,924",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","647,529",""
"Total retail sales, 2012 ($1,000)","(c)","2,912,276",""
"Total retail sales per capita, 2012","(c)","$84,116",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","24.3",""
"Median household income (in 2018 dollars), 2014-2018","","$103,403",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$84,147",""
"Persons in poverty, percent","","9.5%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","15,383",""
"Men-owned firms, 2012","","8,361",""
"Women-owned firms, 2012","","4,425",""
"Minority-owned firms, 2012","","2,270",""
"Nonminority-owned firms, 2012","","12,056",""
"Veteran-owned firms, 2012","","953",""
"Nonveteran-owned firms, 2012","","13,312",""
"Population per square mile, 2010","","5,975.6",""
"Land area in square miles, 2010","","5.71",""
"FIPS Code","","""0606308""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
