"Fact","Fact Note","Burbank city, California","Value Note for Burbank city, California"
"Population estimates, July 1, 2019,  (V2019)","","102,511",""
"Population estimates base, April 1, 2010,  (V2019)","","103,357",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-0.8%",""
"Population, Census, April 1, 2010","","103,340",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","18.8%",""
"Persons 65 years and over, percent","","15.0%",""
"Female persons, percent","","51.4%",""
"White alone, percent","","70.4%",""
"Black or African American alone, percent","(a)","2.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.7%",""
"Asian alone, percent","(a)","12.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","4.9%",""
"Hispanic or Latino, percent","(b)","23.7%",""
"White alone, not Hispanic or Latino, percent","","56.7%",""
"Veterans, 2014-2018","","3,443",""
"Foreign born persons, percent, 2014-2018","","32.8%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","41.8%",""
"Median value of owner-occupied housing units, 2014-2018","","$688,500",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,799",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$551",""
"Median gross rent, 2014-2018","","$1,630",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","41,505",""
"Persons per household, 2014-2018","","2.50",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","88.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","44.9%",""
"Households with a computer, percent, 2014-2018","","90.6%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","83.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","91.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","41.5%",""
"With a disability, under age 65 years, percent, 2014-2018","","5.7%",""
"Persons  without health insurance, under age 65 years, percent","","8.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","66.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","60.8%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","532,939",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","1,101,447",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","1,269,222",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","4,628,564",""
"Total retail sales, 2012 ($1,000)","(c)","2,316,763",""
"Total retail sales per capita, 2012","(c)","$22,193",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","28.4",""
"Median household income (in 2018 dollars), 2014-2018","","$73,277",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$40,282",""
"Persons in poverty, percent","","10.8%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","17,587",""
"Men-owned firms, 2012","","9,727",""
"Women-owned firms, 2012","","5,733",""
"Minority-owned firms, 2012","","5,313",""
"Nonminority-owned firms, 2012","","11,318",""
"Veteran-owned firms, 2012","","1,241",""
"Nonveteran-owned firms, 2012","","15,505",""
"Population per square mile, 2010","","5,959.3",""
"Land area in square miles, 2010","","17.34",""
"FIPS Code","","""0608954""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
