"Fact","Fact Note","Calabasas city, California","Value Note for Calabasas city, California"
"Population estimates, July 1, 2019,  (V2019)","","23,853",""
"Population estimates base, April 1, 2010,  (V2019)","","23,462",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","1.7%",""
"Population, Census, April 1, 2010","","23,058",""
"Persons under 5 years, percent","","3.7%",""
"Persons under 18 years, percent","","23.5%",""
"Persons 65 years and over, percent","","16.8%",""
"Female persons, percent","","52.4%",""
"White alone, percent","","83.1%",""
"Black or African American alone, percent","(a)","0.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","9.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","5.2%",""
"Hispanic or Latino, percent","(b)","8.3%",""
"White alone, not Hispanic or Latino, percent","","76.0%",""
"Veterans, 2014-2018","","606",""
"Foreign born persons, percent, 2014-2018","","26.0%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","68.1%",""
"Median value of owner-occupied housing units, 2014-2018","","$1,042,000",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$3,859",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$1,162",""
"Median gross rent, 2014-2018","","$2,355",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","8,893",""
"Persons per household, 2014-2018","","2.71",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","84.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","29.9%",""
"Households with a computer, percent, 2014-2018","","97.6%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","95.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","97.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","64.5%",""
"With a disability, under age 65 years, percent, 2014-2018","","4.5%",""
"Persons  without health insurance, under age 65 years, percent","","4.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","65.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","58.1%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","63,095",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","63,454",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","890,409",""
"Total retail sales, 2012 ($1,000)","(c)","597,445",""
"Total retail sales per capita, 2012","(c)","$24,941",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","34.2",""
"Median household income (in 2018 dollars), 2014-2018","","$119,926",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$72,709",""
"Persons in poverty, percent","","7.3%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","4,890",""
"Men-owned firms, 2012","","2,475",""
"Women-owned firms, 2012","","1,671",""
"Minority-owned firms, 2012","","978",""
"Nonminority-owned firms, 2012","","3,643",""
"Veteran-owned firms, 2012","","239",""
"Nonveteran-owned firms, 2012","","4,465",""
"Population per square mile, 2010","","1,787.3",""
"Land area in square miles, 2010","","12.90",""
"FIPS Code","","""0609598""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
