"Fact","Fact Note","Carson city, California","Value Note for Carson city, California"
"Population estimates, July 1, 2019,  (V2019)","","91,394",""
"Population estimates base, April 1, 2010,  (V2019)","","91,711",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-0.3%",""
"Population, Census, April 1, 2010","","91,714",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","20.9%",""
"Persons 65 years and over, percent","","16.4%",""
"Female persons, percent","","51.6%",""
"White alone, percent","","28.5%",""
"Black or African American alone, percent","(a)","23.5%",""
"American Indian and Alaska Native alone, percent","(a)","0.6%",""
"Asian alone, percent","(a)","25.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","2.6%",""
"Two or More Races, percent","","4.8%",""
"Hispanic or Latino, percent","(b)","38.8%",""
"White alone, not Hispanic or Latino, percent","","7.3%",""
"Veterans, 2014-2018","","3,817",""
"Foreign born persons, percent, 2014-2018","","34.3%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","74.0%",""
"Median value of owner-occupied housing units, 2014-2018","","$434,000",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,100",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$436",""
"Median gross rent, 2014-2018","","$1,464",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","25,469",""
"Persons per household, 2014-2018","","3.60",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","92.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","53.0%",""
"Households with a computer, percent, 2014-2018","","91.2%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","84.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","80.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","26.6%",""
"With a disability, under age 65 years, percent, 2014-2018","","7.1%",""
"Persons  without health insurance, under age 65 years, percent","","9.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","62.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","58.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","144,201",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","167,263",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","15,329,410",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","5,893,388",""
"Total retail sales, 2012 ($1,000)","(c)","1,398,459",""
"Total retail sales per capita, 2012","(c)","$15,037",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","28.3",""
"Median household income (in 2018 dollars), 2014-2018","","$78,580",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$27,866",""
"Persons in poverty, percent","","10.3%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","8,159",""
"Men-owned firms, 2012","","4,156",""
"Women-owned firms, 2012","","3,266",""
"Minority-owned firms, 2012","","6,384",""
"Nonminority-owned firms, 2012","","1,419",""
"Veteran-owned firms, 2012","","487",""
"Nonveteran-owned firms, 2012","","7,288",""
"Population per square mile, 2010","","4,898.2",""
"Land area in square miles, 2010","","18.72",""
"FIPS Code","","""0611530""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
