"Fact","Fact Note","Claremont city, California","Value Note for Claremont city, California"
"Population estimates, July 1, 2019,  (V2019)","","36,266",""
"Population estimates base, April 1, 2010,  (V2019)","","34,878",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","4.0%",""
"Population, Census, April 1, 2010","","34,926",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","18.1%",""
"Persons 65 years and over, percent","","19.2%",""
"Female persons, percent","","52.1%",""
"White alone, percent","","65.4%",""
"Black or African American alone, percent","(a)","5.0%",""
"American Indian and Alaska Native alone, percent","(a)","1.0%",""
"Asian alone, percent","(a)","14.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","5.9%",""
"Hispanic or Latino, percent","(b)","25.3%",""
"White alone, not Hispanic or Latino, percent","","50.2%",""
"Veterans, 2014-2018","","1,602",""
"Foreign born persons, percent, 2014-2018","","18.9%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","64.5%",""
"Median value of owner-occupied housing units, 2014-2018","","$645,400",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,715",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$676",""
"Median gross rent, 2014-2018","","$1,604",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","11,711",""
"Persons per household, 2014-2018","","2.69",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","83.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","29.0%",""
"Households with a computer, percent, 2014-2018","","95.6%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","89.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","94.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","56.5%",""
"With a disability, under age 65 years, percent, 2014-2018","","5.2%",""
"Persons  without health insurance, under age 65 years, percent","","5.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","59.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","54.9%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","90,511",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","213,516",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","114,635",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","48,149",""
"Total retail sales, 2012 ($1,000)","(c)","379,701",""
"Total retail sales per capita, 2012","(c)","$10,709",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","27.5",""
"Median household income (in 2018 dollars), 2014-2018","","$97,363",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$43,598",""
"Persons in poverty, percent","","8.3%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","3,777",""
"Men-owned firms, 2012","","1,906",""
"Women-owned firms, 2012","","1,302",""
"Minority-owned firms, 2012","","1,340",""
"Nonminority-owned firms, 2012","","2,239",""
"Veteran-owned firms, 2012","","329",""
"Nonveteran-owned firms, 2012","","3,218",""
"Population per square mile, 2010","","2,616.6",""
"Land area in square miles, 2010","","13.35",""
"FIPS Code","","""0613756""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
