"Fact","Fact Note","Commerce city, California","Value Note for Commerce city, California"
"Population estimates, July 1, 2019,  (V2019)","","12,661",""
"Population estimates base, April 1, 2010,  (V2019)","","12,840",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-1.4%",""
"Population, Census, April 1, 2010","","12,823",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","24.6%",""
"Persons 65 years and over, percent","","13.6%",""
"Female persons, percent","","51.9%",""
"White alone, percent","","71.5%",""
"Black or African American alone, percent","(a)","1.5%",""
"American Indian and Alaska Native alone, percent","(a)","1.7%",""
"Asian alone, percent","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent","(b)","95.2%",""
"White alone, not Hispanic or Latino, percent","","1.2%",""
"Veterans, 2014-2018","","114",""
"Foreign born persons, percent, 2014-2018","","32.9%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","46.7%",""
"Median value of owner-occupied housing units, 2014-2018","","$385,100",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$1,819",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$435",""
"Median gross rent, 2014-2018","","$1,093",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","3,549",""
"Persons per household, 2014-2018","","3.62",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","93.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","76.3%",""
"Households with a computer, percent, 2014-2018","","83.7%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","67.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","58.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","11.8%",""
"With a disability, under age 65 years, percent, 2014-2018","","8.2%",""
"Persons  without health insurance, under age 65 years, percent","","15.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","59.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","53.8%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","65,748",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","69,700",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","3,495,497",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","6,513,379",""
"Total retail sales, 2012 ($1,000)","(c)","945,495",""
"Total retail sales per capita, 2012","(c)","$72,989",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","27.3",""
"Median household income (in 2018 dollars), 2014-2018","","$47,083",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$17,931",""
"Persons in poverty, percent","","16.3%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","1,923",""
"Men-owned firms, 2012","","1,028",""
"Women-owned firms, 2012","","441",""
"Minority-owned firms, 2012","","997",""
"Nonminority-owned firms, 2012","","557",""
"Veteran-owned firms, 2012","","98",""
"Nonveteran-owned firms, 2012","","1,481",""
"Population per square mile, 2010","","1,961.6",""
"Land area in square miles, 2010","","6.54",""
"FIPS Code","","""0614974""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
