"Fact","Fact Note","Compton city, California","Value Note for Compton city, California"
"Population estimates, July 1, 2019,  (V2019)","","95,605",""
"Population estimates base, April 1, 2010,  (V2019)","","96,404",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-0.8%",""
"Population, Census, April 1, 2010","","96,455",""
"Persons under 5 years, percent","","7.8%",""
"Persons under 18 years, percent","","29.3%",""
"Persons 65 years and over, percent","","8.8%",""
"Female persons, percent","","50.9%",""
"White alone, percent","","37.7%",""
"Black or African American alone, percent","(a)","29.5%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%",""
"Two or More Races, percent","","1.6%",""
"Hispanic or Latino, percent","(b)","68.2%",""
"White alone, not Hispanic or Latino, percent","","1.2%",""
"Veterans, 2014-2018","","1,550",""
"Foreign born persons, percent, 2014-2018","","30.1%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","54.1%",""
"Median value of owner-occupied housing units, 2014-2018","","$319,800",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$1,737",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$442",""
"Median gross rent, 2014-2018","","$1,175",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","23,974",""
"Persons per household, 2014-2018","","4.03",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","92.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","63.9%",""
"Households with a computer, percent, 2014-2018","","84.8%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","68.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","61.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","8.1%",""
"With a disability, under age 65 years, percent, 2014-2018","","8.0%",""
"Persons  without health insurance, under age 65 years, percent","","13.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","60.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","52.1%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","77,642",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","63,984",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","1,184,226",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","1,584,852",""
"Total retail sales, 2012 ($1,000)","(c)","368,756",""
"Total retail sales per capita, 2012","(c)","$3,780",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","31.1",""
"Median household income (in 2018 dollars), 2014-2018","","$50,507",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$16,348",""
"Persons in poverty, percent","","21.9%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","8,106",""
"Men-owned firms, 2012","","3,617",""
"Women-owned firms, 2012","","3,919",""
"Minority-owned firms, 2012","","7,441",""
"Nonminority-owned firms, 2012","","466",""
"Veteran-owned firms, 2012","","554",""
"Nonveteran-owned firms, 2012","","7,331",""
"Population per square mile, 2010","","9,633.9",""
"Land area in square miles, 2010","","10.01",""
"FIPS Code","","""0615044""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
