"Fact","Fact Note","Downey city, California","Value Note for Downey city, California"
"Population estimates, July 1, 2019,  (V2019)","","111,126",""
"Population estimates base, April 1, 2010,  (V2019)","","111,775",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-0.6%",""
"Population, Census, April 1, 2010","","111,772",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","24.1%",""
"Persons 65 years and over, percent","","11.5%",""
"Female persons, percent","","51.1%",""
"White alone, percent","","59.3%",""
"Black or African American alone, percent","(a)","3.2%",""
"American Indian and Alaska Native alone, percent","(a)","0.5%",""
"Asian alone, percent","(a)","7.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.4%",""
"Two or More Races, percent","","3.0%",""
"Hispanic or Latino, percent","(b)","73.9%",""
"White alone, not Hispanic or Latino, percent","","14.4%",""
"Veterans, 2014-2018","","2,395",""
"Foreign born persons, percent, 2014-2018","","33.3%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","50.6%",""
"Median value of owner-occupied housing units, 2014-2018","","$525,500",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,375",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$510",""
"Median gross rent, 2014-2018","","$1,376",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","33,187",""
"Persons per household, 2014-2018","","3.38",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","91.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","68.7%",""
"Households with a computer, percent, 2014-2018","","92.6%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","81.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","78.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","22.8%",""
"With a disability, under age 65 years, percent, 2014-2018","","5.1%",""
"Persons  without health insurance, under age 65 years, percent","","12.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","65.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","59.1%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","247,665",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","1,293,720",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","1,037,022",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","338,525",""
"Total retail sales, 2012 ($1,000)","(c)","1,163,833",""
"Total retail sales per capita, 2012","(c)","$10,311",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","31.0",""
"Median household income (in 2018 dollars), 2014-2018","","$71,948",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$27,370",""
"Persons in poverty, percent","","9.9%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","10,812",""
"Men-owned firms, 2012","","5,324",""
"Women-owned firms, 2012","","4,399",""
"Minority-owned firms, 2012","","7,960",""
"Nonminority-owned firms, 2012","","2,436",""
"Veteran-owned firms, 2012","","435",""
"Nonveteran-owned firms, 2012","","9,988",""
"Population per square mile, 2010","","9,008.1",""
"Land area in square miles, 2010","","12.41",""
"FIPS Code","","""0619766""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
