"Fact","Fact Note","Glendale city, California","Value Note for Glendale city, California"
"Population estimates, July 1, 2019,  (V2019)","","199,303",""
"Population estimates base, April 1, 2010,  (V2019)","","191,692",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","4.0%",""
"Population, Census, April 1, 2010","","191,719",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","17.6%",""
"Persons 65 years and over, percent","","17.1%",""
"Female persons, percent","","53.0%",""
"White alone, percent","","73.7%",""
"Black or African American alone, percent","(a)","1.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%",""
"Asian alone, percent","(a)","15.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","3.3%",""
"Hispanic or Latino, percent","(b)","18.2%",""
"White alone, not Hispanic or Latino, percent","","62.0%",""
"Veterans, 2014-2018","","3,928",""
"Foreign born persons, percent, 2014-2018","","53.6%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","32.9%",""
"Median value of owner-occupied housing units, 2014-2018","","$724,800",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,898",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$702",""
"Median gross rent, 2014-2018","","$1,529",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","73,871",""
"Persons per household, 2014-2018","","2.69",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","88.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","68.2%",""
"Households with a computer, percent, 2014-2018","","86.2%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","82.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","86.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","39.4%",""
"With a disability, under age 65 years, percent, 2014-2018","","6.6%",""
"Persons  without health insurance, under age 65 years, percent","","10.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","61.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","55.6%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","400,499",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","1,638,525",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","842,272",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","1,386,584",""
"Total retail sales, 2012 ($1,000)","(c)","3,138,231",""
"Total retail sales per capita, 2012","(c)","$16,137",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","28.6",""
"Median household income (in 2018 dollars), 2014-2018","","$62,531",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$34,900",""
"Persons in poverty, percent","","14.9%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","29,153",""
"Men-owned firms, 2012","","16,696",""
"Women-owned firms, 2012","","9,018",""
"Minority-owned firms, 2012","","8,293",""
"Nonminority-owned firms, 2012","","19,640",""
"Veteran-owned firms, 2012","","1,928",""
"Nonveteran-owned firms, 2012","","26,016",""
"Population per square mile, 2010","","6,295.6",""
"Land area in square miles, 2010","","30.45",""
"FIPS Code","","""0630000""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
