"Fact","Fact Note","Glendora city, California","Value Note for Glendora city, California"
"Population estimates, July 1, 2019,  (V2019)","","51,544",""
"Population estimates base, April 1, 2010,  (V2019)","","50,267",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","2.5%",""
"Population, Census, April 1, 2010","","50,073",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","22.4%",""
"Persons 65 years and over, percent","","16.1%",""
"Female persons, percent","","51.6%",""
"White alone, percent","","70.8%",""
"Black or African American alone, percent","(a)","2.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.6%",""
"Asian alone, percent","(a)","10.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%",""
"Two or More Races, percent","","6.6%",""
"Hispanic or Latino, percent","(b)","33.9%",""
"White alone, not Hispanic or Latino, percent","","49.2%",""
"Veterans, 2014-2018","","2,365",""
"Foreign born persons, percent, 2014-2018","","18.4%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","70.1%",""
"Median value of owner-occupied housing units, 2014-2018","","$562,500",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,439",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$591",""
"Median gross rent, 2014-2018","","$1,561",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","16,984",""
"Persons per household, 2014-2018","","2.99",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","89.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","29.1%",""
"Households with a computer, percent, 2014-2018","","94.6%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","88.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","90.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","35.7%",""
"With a disability, under age 65 years, percent, 2014-2018","","7.4%",""
"Persons  without health insurance, under age 65 years, percent","","6.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","63.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","57.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","74,646",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","331,086",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","363,035",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","162,851",""
"Total retail sales, 2012 ($1,000)","(c)","688,202",""
"Total retail sales per capita, 2012","(c)","$13,569",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","33.5",""
"Median household income (in 2018 dollars), 2014-2018","","$92,674",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$39,413",""
"Persons in poverty, percent","","8.9%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","5,196",""
"Men-owned firms, 2012","","2,803",""
"Women-owned firms, 2012","","1,743",""
"Minority-owned firms, 2012","","1,941",""
"Nonminority-owned firms, 2012","","2,981",""
"Veteran-owned firms, 2012","","362",""
"Nonveteran-owned firms, 2012","","4,672",""
"Population per square mile, 2010","","2,582.0",""
"Land area in square miles, 2010","","19.39",""
"FIPS Code","","""0630014""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
