"Fact","Fact Note","Huntington Park city, California","Value Note for Huntington Park city, California"
"Population estimates, July 1, 2019,  (V2019)","","57,509",""
"Population estimates base, April 1, 2010,  (V2019)","","58,125",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-1.1%",""
"Population, Census, April 1, 2010","","58,114",""
"Persons under 5 years, percent","","7.6%",""
"Persons under 18 years, percent","","28.3%",""
"Persons 65 years and over, percent","","8.3%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","64.8%",""
"Black or African American alone, percent","(a)","1.3%",""
"American Indian and Alaska Native alone, percent","(a)","0.7%",""
"Asian alone, percent","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%",""
"Two or More Races, percent","","1.0%",""
"Hispanic or Latino, percent","(b)","96.7%",""
"White alone, not Hispanic or Latino, percent","","1.5%",""
"Veterans, 2014-2018","","426",""
"Foreign born persons, percent, 2014-2018","","46.3%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","27.2%",""
"Median value of owner-occupied housing units, 2014-2018","","$377,200",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$1,867",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$487",""
"Median gross rent, 2014-2018","","$1,028",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","14,577",""
"Persons per household, 2014-2018","","4.02",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","91.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","91.9%",""
"Households with a computer, percent, 2014-2018","","84.0%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","71.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","45.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","5.9%",""
"With a disability, under age 65 years, percent, 2014-2018","","5.0%",""
"Persons  without health insurance, under age 65 years, percent","","21.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","64.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","54.5%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","82,705",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","185,827",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","441,273",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","399,298",""
"Total retail sales, 2012 ($1,000)","(c)","622,664",""
"Total retail sales per capita, 2012","(c)","$10,612",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","31.2",""
"Median household income (in 2018 dollars), 2014-2018","","$40,638",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$14,410",""
"Persons in poverty, percent","","26.1%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","4,541",""
"Men-owned firms, 2012","","2,187",""
"Women-owned firms, 2012","","2,007",""
"Minority-owned firms, 2012","","3,953",""
"Nonminority-owned firms, 2012","","470",""
"Veteran-owned firms, 2012","","133",""
"Nonveteran-owned firms, 2012","","4,291",""
"Population per square mile, 2010","","19,287.8",""
"Land area in square miles, 2010","","3.01",""
"FIPS Code","","""0636056""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
