"Fact","Fact Note","Lawndale city, California","Value Note for Lawndale city, California"
"Population estimates, July 1, 2019,  (V2019)","","32,389",""
"Population estimates base, April 1, 2010,  (V2019)","","32,769",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-1.2%",""
"Population, Census, April 1, 2010","","32,769",""
"Persons under 5 years, percent","","7.1%",""
"Persons under 18 years, percent","","23.5%",""
"Persons 65 years and over, percent","","9.5%",""
"Female persons, percent","","48.9%",""
"White alone, percent","","41.4%",""
"Black or African American alone, percent","(a)","8.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","10.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.8%",""
"Two or More Races, percent","","7.7%",""
"Hispanic or Latino, percent","(b)","63.5%",""
"White alone, not Hispanic or Latino, percent","","15.0%",""
"Veterans, 2014-2018","","976",""
"Foreign born persons, percent, 2014-2018","","37.8%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","32.5%",""
"Median value of owner-occupied housing units, 2014-2018","","$476,500",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,260",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$468",""
"Median gross rent, 2014-2018","","$1,413",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","9,822",""
"Persons per household, 2014-2018","","3.34",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","91.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","66.8%",""
"Households with a computer, percent, 2014-2018","","93.6%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","85.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","72.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","17.9%",""
"With a disability, under age 65 years, percent, 2014-2018","","6.9%",""
"Persons  without health insurance, under age 65 years, percent","","16.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","69.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","61.1%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","38,019",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","34,696",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","39,167",""
"Total retail sales, 2012 ($1,000)","(c)","208,359",""
"Total retail sales per capita, 2012","(c)","$6,291",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","26.6",""
"Median household income (in 2018 dollars), 2014-2018","","$58,447",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$23,283",""
"Persons in poverty, percent","","13.9%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","3,320",""
"Men-owned firms, 2012","","1,703",""
"Women-owned firms, 2012","","1,349",""
"Minority-owned firms, 2012","","2,292",""
"Nonminority-owned firms, 2012","","928",""
"Veteran-owned firms, 2012","","196",""
"Nonveteran-owned firms, 2012","","3,082",""
"Population per square mile, 2010","","16,600.3",""
"Land area in square miles, 2010","","1.97",""
"FIPS Code","","""0640886""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
