"Fact","Fact Note","Lynwood city, California","Value Note for Lynwood city, California"
"Population estimates, July 1, 2019,  (V2019)","","69,887",""
"Population estimates base, April 1, 2010,  (V2019)","","69,763",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","0.2%",""
"Population, Census, April 1, 2010","","69,772",""
"Persons under 5 years, percent","","7.9%",""
"Persons under 18 years, percent","","28.2%",""
"Persons 65 years and over, percent","","7.4%",""
"Female persons, percent","","51.3%",""
"White alone, percent","","55.4%",""
"Black or African American alone, percent","(a)","8.5%",""
"American Indian and Alaska Native alone, percent","(a)","0.8%",""
"Asian alone, percent","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.4%",""
"Two or More Races, percent","","1.6%",""
"Hispanic or Latino, percent","(b)","87.5%",""
"White alone, not Hispanic or Latino, percent","","2.4%",""
"Veterans, 2014-2018","","703",""
"Foreign born persons, percent, 2014-2018","","37.8%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","42.6%",""
"Median value of owner-occupied housing units, 2014-2018","","$371,800",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$1,870",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$497",""
"Median gross rent, 2014-2018","","$1,161",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","15,571",""
"Persons per household, 2014-2018","","4.38",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","92.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","83.9%",""
"Households with a computer, percent, 2014-2018","","87.5%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","70.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","56.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","6.8%",""
"With a disability, under age 65 years, percent, 2014-2018","","5.3%",""
"Persons  without health insurance, under age 65 years, percent","","18.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","60.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","50.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","64,639",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","430,743",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","236,597",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","312,479",""
"Total retail sales, 2012 ($1,000)","(c)","322,250",""
"Total retail sales per capita, 2012","(c)","$4,557",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","31.8",""
"Median household income (in 2018 dollars), 2014-2018","","$49,684",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$15,573",""
"Persons in poverty, percent","","20.5%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","4,880",""
"Men-owned firms, 2012","","2,419",""
"Women-owned firms, 2012","","2,152",""
"Minority-owned firms, 2012","","4,397",""
"Nonminority-owned firms, 2012","","289",""
"Veteran-owned firms, 2012","","265",""
"Nonveteran-owned firms, 2012","","4,439",""
"Population per square mile, 2010","","14,415.7",""
"Land area in square miles, 2010","","4.84",""
"FIPS Code","","""0644574""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
