"Fact","Fact Note","Monrovia city, California","Value Note for Monrovia city, California"
"Population estimates, July 1, 2019,  (V2019)","","36,331",""
"Population estimates base, April 1, 2010,  (V2019)","","36,600",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-0.7%",""
"Population, Census, April 1, 2010","","36,590",""
"Persons under 5 years, percent","","4.7%",""
"Persons under 18 years, percent","","20.8%",""
"Persons 65 years and over, percent","","13.4%",""
"Female persons, percent","","51.0%",""
"White alone, percent","","63.5%",""
"Black or African American alone, percent","(a)","6.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.5%",""
"Asian alone, percent","(a)","14.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.6%",""
"Two or More Races, percent","","5.9%",""
"Hispanic or Latino, percent","(b)","40.7%",""
"White alone, not Hispanic or Latino, percent","","35.2%",""
"Veterans, 2014-2018","","1,059",""
"Foreign born persons, percent, 2014-2018","","26.2%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","46.8%",""
"Median value of owner-occupied housing units, 2014-2018","","$634,300",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,434",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$626",""
"Median gross rent, 2014-2018","","$1,469",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","12,993",""
"Persons per household, 2014-2018","","2.83",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","90.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","42.1%",""
"Households with a computer, percent, 2014-2018","","90.5%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","83.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","89.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","36.4%",""
"With a disability, under age 65 years, percent, 2014-2018","","5.2%",""
"Persons  without health insurance, under age 65 years, percent","","9.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","69.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","64.3%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","109,293",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","159,020",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","719,581",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","545,258",""
"Total retail sales, 2012 ($1,000)","(c)","779,419",""
"Total retail sales per capita, 2012","(c)","$21,091",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","31.5",""
"Median household income (in 2018 dollars), 2014-2018","","$73,170",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$37,260",""
"Persons in poverty, percent","","7.9%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","4,263",""
"Men-owned firms, 2012","","2,287",""
"Women-owned firms, 2012","","1,526",""
"Minority-owned firms, 2012","","1,722",""
"Nonminority-owned firms, 2012","","2,330",""
"Veteran-owned firms, 2012","","303",""
"Nonveteran-owned firms, 2012","","3,782",""
"Population per square mile, 2010","","2,689.5",""
"Land area in square miles, 2010","","13.61",""
"FIPS Code","","""0648648""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
