"Fact","Fact Note","Monterey Park city, California","Value Note for Monterey Park city, California"
"Population estimates, July 1, 2019,  (V2019)","","59,669",""
"Population estimates base, April 1, 2010,  (V2019)","","60,225",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-0.9%",""
"Population, Census, April 1, 2010","","60,269",""
"Persons under 5 years, percent","","4.3%",""
"Persons under 18 years, percent","","16.6%",""
"Persons 65 years and over, percent","","21.2%",""
"Female persons, percent","","51.8%",""
"White alone, percent","","13.1%",""
"Black or African American alone, percent","(a)","0.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.6%",""
"Asian alone, percent","(a)","66.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.7%",""
"Two or More Races, percent","","2.4%",""
"Hispanic or Latino, percent","(b)","26.9%",""
"White alone, not Hispanic or Latino, percent","","3.9%",""
"Veterans, 2014-2018","","1,483",""
"Foreign born persons, percent, 2014-2018","","55.0%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","52.2%",""
"Median value of owner-occupied housing units, 2014-2018","","$593,300",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,359",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$504",""
"Median gross rent, 2014-2018","","$1,354",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","19,892",""
"Persons per household, 2014-2018","","3.04",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","91.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","75.9%",""
"Households with a computer, percent, 2014-2018","","90.2%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","83.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","78.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","31.8%",""
"With a disability, under age 65 years, percent, 2014-2018","","4.6%",""
"Persons  without health insurance, under age 65 years, percent","","9.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","55.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","50.5%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","149,007",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","534,650",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","89,327",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","878,591",""
"Total retail sales, 2012 ($1,000)","(c)","399,601",""
"Total retail sales per capita, 2012","(c)","$6,558",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","30.7",""
"Median household income (in 2018 dollars), 2014-2018","","$57,265",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$28,196",""
"Persons in poverty, percent","","14.0%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","9,511",""
"Men-owned firms, 2012","","4,971",""
"Women-owned firms, 2012","","3,835",""
"Minority-owned firms, 2012","","8,562",""
"Nonminority-owned firms, 2012","","813",""
"Veteran-owned firms, 2012","","277",""
"Nonveteran-owned firms, 2012","","9,060",""
"Population per square mile, 2010","","7,855.7",""
"Land area in square miles, 2010","","7.67",""
"FIPS Code","","""0648914""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
