"Fact","Fact Note","Pico Rivera city, California","Value Note for Pico Rivera city, California"
"Population estimates, July 1, 2019,  (V2019)","","62,027",""
"Population estimates base, April 1, 2010,  (V2019)","","62,958",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-1.5%",""
"Population, Census, April 1, 2010","","62,942",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","23.4%",""
"Persons 65 years and over, percent","","14.4%",""
"Female persons, percent","","51.1%",""
"White alone, percent","","53.8%",""
"Black or African American alone, percent","(a)","0.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.7%",""
"Asian alone, percent","(a)","2.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent","(b)","90.6%",""
"White alone, not Hispanic or Latino, percent","","5.4%",""
"Veterans, 2014-2018","","1,636",""
"Foreign born persons, percent, 2014-2018","","30.1%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","67.3%",""
"Median value of owner-occupied housing units, 2014-2018","","$415,100",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$1,913",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$358",""
"Median gross rent, 2014-2018","","$1,304",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","16,681",""
"Persons per household, 2014-2018","","3.77",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","93.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","69.9%",""
"Households with a computer, percent, 2014-2018","","87.1%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","77.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","71.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","12.7%",""
"With a disability, under age 65 years, percent, 2014-2018","","5.7%",""
"Persons  without health insurance, under age 65 years, percent","","12.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","61.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","55.3%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","104,954",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","117,722",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","433,303",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","1,419,821",""
"Total retail sales, 2012 ($1,000)","(c)","1,480,264",""
"Total retail sales per capita, 2012","(c)","$23,303",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","31.0",""
"Median household income (in 2018 dollars), 2014-2018","","$65,666",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$22,076",""
"Persons in poverty, percent","","10.0%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","4,396",""
"Men-owned firms, 2012","","2,621",""
"Women-owned firms, 2012","","1,418",""
"Minority-owned firms, 2012","","3,806",""
"Nonminority-owned firms, 2012","","430",""
"Veteran-owned firms, 2012","","234",""
"Nonveteran-owned firms, 2012","","4,025",""
"Population per square mile, 2010","","7,587.0",""
"Land area in square miles, 2010","","8.30",""
"FIPS Code","","""0656924""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
