"Fact","Fact Note","Pomona city, California","Value Note for Pomona city, California"
"Population estimates, July 1, 2019,  (V2019)","","151,691",""
"Population estimates base, April 1, 2010,  (V2019)","","149,061",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","1.8%",""
"Population, Census, April 1, 2010","","149,058",""
"Persons under 5 years, percent","","7.6%",""
"Persons under 18 years, percent","","25.7%",""
"Persons 65 years and over, percent","","10.2%",""
"Female persons, percent","","50.9%",""
"White alone, percent","","50.3%",""
"Black or African American alone, percent","(a)","6.0%",""
"American Indian and Alaska Native alone, percent","(a)","2.0%",""
"Asian alone, percent","(a)","9.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","4.2%",""
"Hispanic or Latino, percent","(b)","71.5%",""
"White alone, not Hispanic or Latino, percent","","11.0%",""
"Veterans, 2014-2018","","3,464",""
"Foreign born persons, percent, 2014-2018","","34.2%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","52.3%",""
"Median value of owner-occupied housing units, 2014-2018","","$367,400",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$1,871",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$468",""
"Median gross rent, 2014-2018","","$1,289",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","39,122",""
"Persons per household, 2014-2018","","3.77",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","86.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","66.2%",""
"Households with a computer, percent, 2014-2018","","91.0%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","83.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","68.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","17.7%",""
"With a disability, under age 65 years, percent, 2014-2018","","7.1%",""
"Persons  without health insurance, under age 65 years, percent","","14.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","63.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","55.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","169,528",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","1,218,573",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","991,416",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","2,099,359",""
"Total retail sales, 2012 ($1,000)","(c)","845,692",""
"Total retail sales per capita, 2012","(c)","$5,608",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","30.7",""
"Median household income (in 2018 dollars), 2014-2018","","$55,115",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$19,774",""
"Persons in poverty, percent","","20.1%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","11,452",""
"Men-owned firms, 2012","","5,914",""
"Women-owned firms, 2012","","4,461",""
"Minority-owned firms, 2012","","8,758",""
"Nonminority-owned firms, 2012","","2,270",""
"Veteran-owned firms, 2012","","638",""
"Nonveteran-owned firms, 2012","","10,485",""
"Population per square mile, 2010","","6,494.3",""
"Land area in square miles, 2010","","22.95",""
"FIPS Code","","""0658072""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
