"Fact","Fact Note","San Dimas city, California","Value Note for San Dimas city, California"
"Population estimates, July 1, 2019,  (V2019)","","33,621",""
"Population estimates base, April 1, 2010,  (V2019)","","33,375",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","0.7%",""
"Population, Census, April 1, 2010","","33,371",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","20.2%",""
"Persons 65 years and over, percent","","19.2%",""
"Female persons, percent","","53.1%",""
"White alone, percent","","68.5%",""
"Black or African American alone, percent","(a)","3.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.9%",""
"Asian alone, percent","(a)","14.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","5.0%",""
"Hispanic or Latino, percent","(b)","33.4%",""
"White alone, not Hispanic or Latino, percent","","45.9%",""
"Veterans, 2014-2018","","1,566",""
"Foreign born persons, percent, 2014-2018","","19.4%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","72.1%",""
"Median value of owner-occupied housing units, 2014-2018","","$547,500",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,402",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$640",""
"Median gross rent, 2014-2018","","$1,727",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","11,479",""
"Persons per household, 2014-2018","","2.91",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","87.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","29.4%",""
"Households with a computer, percent, 2014-2018","","92.4%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","87.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","93.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","37.0%",""
"With a disability, under age 65 years, percent, 2014-2018","","7.9%",""
"Persons  without health insurance, under age 65 years, percent","","4.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","60.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","55.9%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","71,516",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","180,317",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","303,979",""
"Total retail sales, 2012 ($1,000)","(c)","538,390",""
"Total retail sales per capita, 2012","(c)","$15,958",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","33.1",""
"Median household income (in 2018 dollars), 2014-2018","","$84,749",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$36,900",""
"Persons in poverty, percent","","8.6%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","3,286",""
"Men-owned firms, 2012","","1,655",""
"Women-owned firms, 2012","","1,102",""
"Minority-owned firms, 2012","","1,286",""
"Nonminority-owned firms, 2012","","1,793",""
"Veteran-owned firms, 2012","","204",""
"Nonveteran-owned firms, 2012","","2,871",""
"Population per square mile, 2010","","2,219.3",""
"Land area in square miles, 2010","","15.04",""
"FIPS Code","","""0666070""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
