"Fact","Fact Note","San Fernando city, California","Value Note for San Fernando city, California"
"Population estimates, July 1, 2019,  (V2019)","","24,322",""
"Population estimates base, April 1, 2010,  (V2019)","","23,640",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","2.9%",""
"Population, Census, April 1, 2010","","23,645",""
"Persons under 5 years, percent","","6.2%",""
"Persons under 18 years, percent","","24.8%",""
"Persons 65 years and over, percent","","9.9%",""
"Female persons, percent","","48.7%",""
"White alone, percent","","58.4%",""
"Black or African American alone, percent","(a)","1.1%",""
"American Indian and Alaska Native alone, percent","(a)","0.5%",""
"Asian alone, percent","(a)","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent","(b)","93.0%",""
"White alone, not Hispanic or Latino, percent","","4.5%",""
"Veterans, 2014-2018","","536",""
"Foreign born persons, percent, 2014-2018","","36.6%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","52.7%",""
"Median value of owner-occupied housing units, 2014-2018","","$396,200",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$1,938",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$448",""
"Median gross rent, 2014-2018","","$1,310",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","6,551",""
"Persons per household, 2014-2018","","3.74",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","92.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","79.0%",""
"Households with a computer, percent, 2014-2018","","83.8%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","75.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","63.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","10.7%",""
"With a disability, under age 65 years, percent, 2014-2018","","7.4%",""
"Persons  without health insurance, under age 65 years, percent","","14.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","62.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","55.8%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","41,574",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","64,773",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","1,091,961",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","348,210",""
"Total retail sales, 2012 ($1,000)","(c)","122,721",""
"Total retail sales per capita, 2012","(c)","$5,139",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","29.7",""
"Median household income (in 2018 dollars), 2014-2018","","$53,353",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$20,163",""
"Persons in poverty, percent","","14.7%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","2,316",""
"Men-owned firms, 2012","","1,309",""
"Women-owned firms, 2012","","721",""
"Minority-owned firms, 2012","","1,659",""
"Nonminority-owned firms, 2012","","533",""
"Veteran-owned firms, 2012","","117",""
"Nonveteran-owned firms, 2012","","2,045",""
"Population per square mile, 2010","","9,960.0",""
"Land area in square miles, 2010","","2.37",""
"FIPS Code","","""0666140""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
