"Fact","Fact Note","San Gabriel city, California","Value Note for San Gabriel city, California"
"Population estimates, July 1, 2019,  (V2019)","","39,899",""
"Population estimates base, April 1, 2010,  (V2019)","","39,644",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","0.6%",""
"Population, Census, April 1, 2010","","39,718",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","18.2%",""
"Persons 65 years and over, percent","","16.1%",""
"Female persons, percent","","52.3%",""
"White alone, percent","","21.3%",""
"Black or African American alone, percent","(a)","0.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%",""
"Asian alone, percent","(a)","59.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent","(b)","26.3%",""
"White alone, not Hispanic or Latino, percent","","11.9%",""
"Veterans, 2014-2018","","641",""
"Foreign born persons, percent, 2014-2018","","54.8%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","44.6%",""
"Median value of owner-occupied housing units, 2014-2018","","$659,500",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,442",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$615",""
"Median gross rent, 2014-2018","","$1,425",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","12,063",""
"Persons per household, 2014-2018","","3.29",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","92.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","72.8%",""
"Households with a computer, percent, 2014-2018","","94.1%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","87.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","79.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","32.3%",""
"With a disability, under age 65 years, percent, 2014-2018","","3.5%",""
"Persons  without health insurance, under age 65 years, percent","","10.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","62.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","55.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","105,818",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","351,545",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","55,961",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","219,758",""
"Total retail sales, 2012 ($1,000)","(c)","473,449",""
"Total retail sales per capita, 2012","(c)","$11,792",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","28.8",""
"Median household income (in 2018 dollars), 2014-2018","","$57,863",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$26,599",""
"Persons in poverty, percent","","12.3%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","7,839",""
"Men-owned firms, 2012","","3,547",""
"Women-owned firms, 2012","","3,450",""
"Minority-owned firms, 2012","","6,981",""
"Nonminority-owned firms, 2012","","763",""
"Veteran-owned firms, 2012","","235",""
"Nonveteran-owned firms, 2012","","7,477",""
"Population per square mile, 2010","","9,582.1",""
"Land area in square miles, 2010","","4.15",""
"FIPS Code","","""0667042""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
