"Fact","Fact Note","San Marino city, California","Value Note for San Marino city, California"
"Population estimates, July 1, 2019,  (V2019)","","13,048",""
"Population estimates base, April 1, 2010,  (V2019)","","13,101",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-0.4%",""
"Population, Census, April 1, 2010","","13,147",""
"Persons under 5 years, percent","","4.1%",""
"Persons under 18 years, percent","","22.9%",""
"Persons 65 years and over, percent","","22.0%",""
"Female persons, percent","","52.6%",""
"White alone, percent","","31.9%",""
"Black or African American alone, percent","(a)","2.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.0%",""
"Asian alone, percent","(a)","59.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.4%",""
"Two or More Races, percent","","3.5%",""
"Hispanic or Latino, percent","(b)","4.3%",""
"White alone, not Hispanic or Latino, percent","","30.5%",""
"Veterans, 2014-2018","","308",""
"Foreign born persons, percent, 2014-2018","","41.6%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","86.4%",""
"Median value of owner-occupied housing units, 2014-2018","","$1,886,000",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$4,000+",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$1,477",""
"Median gross rent, 2014-2018","","$3,500+",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","4,566",""
"Persons per household, 2014-2018","","2.89",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","91.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","50.6%",""
"Households with a computer, percent, 2014-2018","","95.0%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","91.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","97.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","75.6%",""
"With a disability, under age 65 years, percent, 2014-2018","","3.0%",""
"Persons  without health insurance, under age 65 years, percent","","2.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","52.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","46.1%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","15,759",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","D",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","45,259",""
"Total retail sales, 2012 ($1,000)","(c)","26,688",""
"Total retail sales per capita, 2012","(c)","$2,011",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","29.6",""
"Median household income (in 2018 dollars), 2014-2018","","$159,509",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$76,717",""
"Persons in poverty, percent","","9.1%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","2,335",""
"Men-owned firms, 2012","","1,126",""
"Women-owned firms, 2012","","852",""
"Minority-owned firms, 2012","","1,293",""
"Nonminority-owned firms, 2012","","859",""
"Veteran-owned firms, 2012","","121",""
"Nonveteran-owned firms, 2012","","2,022",""
"Population per square mile, 2010","","3,490.0",""
"Land area in square miles, 2010","","3.77",""
"FIPS Code","","""0668224""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
