"Fact","Fact Note","Santa Clarita city, California","Value Note for Santa Clarita city, California"
"Population estimates, July 1, 2019,  (V2019)","","212,979",""
"Population estimates base, April 1, 2010,  (V2019)","","208,778",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","2.0%",""
"Population, Census, April 1, 2010","","176,320",""
"Persons under 5 years, percent","","6.7%",""
"Persons under 18 years, percent","","25.9%",""
"Persons 65 years and over, percent","","11.3%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","70.1%",""
"Black or African American alone, percent","(a)","4.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.8%",""
"Asian alone, percent","(a)","11.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%",""
"Two or More Races, percent","","6.7%",""
"Hispanic or Latino, percent","(b)","33.5%",""
"White alone, not Hispanic or Latino, percent","","47.5%",""
"Veterans, 2014-2018","","8,291",""
"Foreign born persons, percent, 2014-2018","","20.8%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","67.8%",""
"Median value of owner-occupied housing units, 2014-2018","","$497,500",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,534",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$682",""
"Median gross rent, 2014-2018","","$1,819",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","67,583",""
"Persons per household, 2014-2018","","3.07",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","87.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","31.0%",""
"Households with a computer, percent, 2014-2018","","95.1%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","91.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","90.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","35.5%",""
"With a disability, under age 65 years, percent, 2014-2018","","6.8%",""
"Persons  without health insurance, under age 65 years, percent","","7.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","68.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","61.3%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","351,407",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","871,781",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","2,137,050",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","7,495,904",""
"Total retail sales, 2012 ($1,000)","(c)","2,781,735",""
"Total retail sales per capita, 2012","(c)","$15,539",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","35.7",""
"Median household income (in 2018 dollars), 2014-2018","","$94,282",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$37,756",""
"Persons in poverty, percent","","8.6%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","17,375",""
"Men-owned firms, 2012","","8,959",""
"Women-owned firms, 2012","","6,211",""
"Minority-owned firms, 2012","","5,865",""
"Nonminority-owned firms, 2012","","10,788",""
"Veteran-owned firms, 2012","","1,240",""
"Nonveteran-owned firms, 2012","","15,393",""
"Population per square mile, 2010","","3,344.7",""
"Land area in square miles, 2010","","52.72",""
"FIPS Code","","""0669088""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
