"Fact","Fact Note","Temple City city, California","Value Note for Temple City city, California"
"Population estimates, July 1, 2019,  (V2019)","","35,811",""
"Population estimates base, April 1, 2010,  (V2019)","","35,554",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","0.7%",""
"Population, Census, April 1, 2010","","35,558",""
"Persons under 5 years, percent","","5.7%",""
"Persons under 18 years, percent","","21.1%",""
"Persons 65 years and over, percent","","17.6%",""
"Female persons, percent","","52.4%",""
"White alone, percent","","22.9%",""
"Black or African American alone, percent","(a)","0.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.5%",""
"Asian alone, percent","(a)","62.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.4%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent","(b)","19.9%",""
"White alone, not Hispanic or Latino, percent","","15.4%",""
"Veterans, 2014-2018","","688",""
"Foreign born persons, percent, 2014-2018","","48.6%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","60.4%",""
"Median value of owner-occupied housing units, 2014-2018","","$694,000",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,595",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$575",""
"Median gross rent, 2014-2018","","$1,551",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","11,319",""
"Persons per household, 2014-2018","","3.15",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","91.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","66.4%",""
"Households with a computer, percent, 2014-2018","","92.7%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","85.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","84.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","38.7%",""
"With a disability, under age 65 years, percent, 2014-2018","","4.6%",""
"Persons  without health insurance, under age 65 years, percent","","6.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","57.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","53.1%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","47,443",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","105,530",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","14,252",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","103,981",""
"Total retail sales, 2012 ($1,000)","(c)","299,804",""
"Total retail sales per capita, 2012","(c)","$8,305",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","32.1",""
"Median household income (in 2018 dollars), 2014-2018","","$70,984",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$29,976",""
"Persons in poverty, percent","","11.5%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","5,362",""
"Men-owned firms, 2012","","2,681",""
"Women-owned firms, 2012","","2,082",""
"Minority-owned firms, 2012","","4,314",""
"Nonminority-owned firms, 2012","","862",""
"Veteran-owned firms, 2012","","155",""
"Nonveteran-owned firms, 2012","","5,079",""
"Population per square mile, 2010","","8,876.2",""
"Land area in square miles, 2010","","4.01",""
"FIPS Code","","""0678148""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
