"Fact","Fact Note","West Covina city, California","Value Note for West Covina city, California"
"Population estimates, July 1, 2019,  (V2019)","","105,101",""
"Population estimates base, April 1, 2010,  (V2019)","","106,108",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-0.9%",""
"Population, Census, April 1, 2010","","106,098",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","21.8%",""
"Persons 65 years and over, percent","","15.0%",""
"Female persons, percent","","51.5%",""
"White alone, percent","","34.9%",""
"Black or African American alone, percent","(a)","4.2%",""
"American Indian and Alaska Native alone, percent","(a)","0.6%",""
"Asian alone, percent","(a)","29.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.3%",""
"Two or More Races, percent","","4.6%",""
"Hispanic or Latino, percent","(b)","53.2%",""
"White alone, not Hispanic or Latino, percent","","11.3%",""
"Veterans, 2014-2018","","3,381",""
"Foreign born persons, percent, 2014-2018","","35.6%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","64.1%",""
"Median value of owner-occupied housing units, 2014-2018","","$490,000",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,215",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$525",""
"Median gross rent, 2014-2018","","$1,602",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","30,513",""
"Persons per household, 2014-2018","","3.48",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","89.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","59.2%",""
"Households with a computer, percent, 2014-2018","","93.7%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","86.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","85.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","28.8%",""
"With a disability, under age 65 years, percent, 2014-2018","","5.9%",""
"Persons  without health insurance, under age 65 years, percent","","8.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","64.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","59.2%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","184,466",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","795,646",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","104,125",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","203,580",""
"Total retail sales, 2012 ($1,000)","(c)","1,476,317",""
"Total retail sales per capita, 2012","(c)","$13,741",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","34.3",""
"Median household income (in 2018 dollars), 2014-2018","","$79,140",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$28,474",""
"Persons in poverty, percent","","9.6%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","8,574",""
"Men-owned firms, 2012","","4,346",""
"Women-owned firms, 2012","","3,360",""
"Minority-owned firms, 2012","","6,692",""
"Nonminority-owned firms, 2012","","1,616",""
"Veteran-owned firms, 2012","","391",""
"Nonveteran-owned firms, 2012","","7,864",""
"Population per square mile, 2010","","6,614.2",""
"Land area in square miles, 2010","","16.04",""
"FIPS Code","","""0684200""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
