"Fact","Fact Note","Westlake Village city, California","Value Note for Westlake Village city, California"
"Population estimates, July 1, 2019,  (V2019)","","8,217",""
"Population estimates base, April 1, 2010,  (V2019)","","8,303",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-1.0%",""
"Population, Census, April 1, 2010","","8,270",""
"Persons under 5 years, percent","","4.0%",""
"Persons under 18 years, percent","","19.8%",""
"Persons 65 years and over, percent","","25.6%",""
"Female persons, percent","","53.6%",""
"White alone, percent","","84.6%",""
"Black or African American alone, percent","(a)","1.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.5%",""
"Asian alone, percent","(a)","7.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","5.2%",""
"Hispanic or Latino, percent","(b)","7.6%",""
"White alone, not Hispanic or Latino, percent","","78.4%",""
"Veterans, 2014-2018","","534",""
"Foreign born persons, percent, 2014-2018","","15.3%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2014-2018","","86.9%",""
"Median value of owner-occupied housing units, 2014-2018","","$913,400",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$3,178",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$948",""
"Median gross rent, 2014-2018","","$2,543",""
"Building permits, 2019","","X",""
"Households, 2014-2018","","3,370",""
"Persons per household, 2014-2018","","2.48",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","87.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","13.7%",""
"Households with a computer, percent, 2014-2018","","97.3%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","94.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","98.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","69.4%",""
"With a disability, under age 65 years, percent, 2014-2018","","4.8%",""
"Persons  without health insurance, under age 65 years, percent","","3.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","55.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","47.5%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","88,946",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","64,056",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","142,999",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","1,296,770",""
"Total retail sales, 2012 ($1,000)","(c)","301,526",""
"Total retail sales per capita, 2012","(c)","$35,900",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","28.3",""
"Median household income (in 2018 dollars), 2014-2018","","$141,979",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$79,760",""
"Persons in poverty, percent","","4.8%",""
"Total employer establishments, 2017","","X",""
"Total employment, 2017","","X",""
"Total annual payroll, 2017 ($1,000)","","X",""
"Total employment, percent change, 2016-2017","","X",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","2,148",""
"Men-owned firms, 2012","","1,101",""
"Women-owned firms, 2012","","637",""
"Minority-owned firms, 2012","","201",""
"Nonminority-owned firms, 2012","","1,731",""
"Veteran-owned firms, 2012","","140",""
"Nonveteran-owned firms, 2012","","1,866",""
"Population per square mile, 2010","","1,595.0",""
"Land area in square miles, 2010","","5.19",""
"FIPS Code","","""0684438""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
